id;name;description;use_guide;terms;lang_code;status
1;Supervisor Response Phased;Fish systems;Generic national;Estates methodologies;Cheese dig;DELETED
2;program strategize ubiquitous;Cliffs COM Handcrafted;Argentina;Cotton Pakistan Frozen;Handmade;DELETED
3;haptic Consultant;Towels THX;Island deliverables;Fresh Executive;zero Belar;ACTIVATED
4;deposit scalable;Peso;deliverables Internal Utah;Qatari haptic Multi-tiered;Total;ACTIVATED
5;copy hard generate;PNG withdrawal;payment;Fresh;Plastic Au;ACTIVATED
6;synthesizing Unbranded;mobile Metrics;Frozen contextually-based;orchid Carolina;instructio;ACTIVATED
7;withdrawal leading B2B;indexing Dinar;Concrete Central;e-tailers;forecast L;DEACTIVATED
8;viral Stream;Web Avon;Squares protocol Jewelery;mobile Security Plaza;schemas Fr;DELETED
9;solution alarm;Licensed Incredible;Frozen digital;Namibia;Investor C;ACTIVATED
10;disintermediate;mobile Berkshire;harness optical Port;up Buckinghamshire ivory;Markets ha;DELETED
