id;name;website;status
1;Crescent Beauty;leverage Cuban Account;DEACTIVATED
2;reintermediate turquoise concept;Trail Agent Cambridgeshire;ACTIVATED
3;Brand lavender;Frozen;ACTIVATED
4;Market;Inverse quantify Program;DELETED
5;Research;program;ACTIVATED
6;interface Beauty wireless;lime metrics Maryland;ACTIVATED
7;Table;system Rustic Rhode;DEACTIVATED
8;SAS cross-platform Checking;hacking Flats;DEACTIVATED
9;Liaison Nebraska copying;calculate Central Real;DELETED
10;Marketing overriding optimize;withdrawal;DEACTIVATED
