id;code;name;website;icon;status
1;Crescent Beauty;leverage Cuban Account;Markets Electronics;concept;DELETED
2;SMS SMS;Afghanistan Brand lavender;Frozen;Rubber;DEACTIVATED
3;Inverse quantify Pro;lavender Avon USB;interface Beauty wireless;lime metrics Maryland;ACTIVATED
4;Table;system Rustic Rhode;optical indigo;Checking Buckinghamshire Table;DELETED
5;parse generating;copying;calculate Central Real;parse Internal interface;DELETED
6;withdrawal;back Avon;Account Crossroad Squares;Research Chips;DELETED
7;flexibility sticky r;1080p;Handcrafted incubate;Plastic payment;DELETED
8;payment Baby quantif;Wooden Kids;Incredible incentivize Solutions;framework;ACTIVATED
9;cyan;Ghana Fresh Montenegro;Representative withdrawal Đạo;Centers redefine Coordinator;ACTIVATED
10;encoding channels;Right-sized RSS;interfaces JSON;Rupee middleware Assistant;DEACTIVATED
