id;name;description;icon
1;initiatives open-source;Implementation Licensed monitor;object-oriented Colorado
2;Keyboard;Albania;Tactics Steel invoice
3;index payment;Strategist hack transition;Mobility synergy Denar
4;Gloves Incredible;Arizona Cheese Gorgeous;recontextualize Savings
5;withdrawal niches;District;Platinum Cheese cyan
6;COM;teal;teal
7;recontextualize Global;Indiana;program
8;sensor monetize interface;SSL PCI Lan;applications Functionality
9;bandwidth-monitored deposit synthesizing;District;Camp
10;enable Credit next-generation;Mouse Engineer Fords;cyan deposit Health
